"","PUMA00","PUMA10","ADJINC","AGEP","CIT","COW","ENG","FER","INTP","JWMNP","LANX","MAR","MIG","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RETP","SCH","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","ANC1P05","ANC1P12","DECADE","DIS","ESR","FOD1P","HICOV","NATIVITY","NOP","OCCP10","OCCP12","PERNP","PINCP","POBP05","POBP12","PRIVCOV","PUBCOV","RAC1P","SCIENGP","WAOB","FENGP","PWGTP"
"125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",2714,-9,1094136,52,5,1,2,NA,0,15,1,3,1,2,3,2,2,2,0,0,0,1,14,0,1,0,0,18000,48,210,-9,4,2,1,NA,1,2,NA,"9600","N.A.",18000,18000,303,-9,1,2,8,NA,3,0,15
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",-9,10702,1041654,55,4,1,1,NA,0,NA,1,5,1,3,5,3,3,3,0,800,0,1,17,0,2,0,0,9000,9,-9,210,4,2,2,NA,1,2,NA,"N.A.","4760",9000,9800,-9,303,2,1,9,NA,3,0,18
"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",-9,3748,1024037,33,1,1,NA,NA,0,20,2,1,1,3,5,3,3,3,0,0,0,1,23,0,1,0,0,122000,60,-9,89,NA,2,1,6106,1,1,NA,"N.A.","2100",122000,122000,-9,42,1,2,1,2,1,0,17
"133",-9,7703,1024037,57,1,NA,1,NA,0,NA,1,1,1,2,5,2,2,3,0,0,0,1,12,0,2,1900,0,0,NA,-9,210,NA,1,6,NA,1,1,NA,"","",0,1900,-9,6,2,1,8,NA,1,0,8
"134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
