"DATE","tenor","rate"
2012-05-01,"GS1",0.19
2012-06-01,"GS1",0.19
2012-07-01,"GS1",0.19
2012-08-01,"GS1",0.18
2012-09-01,"GS1",0.18
2012-10-01,"GS1",0.18
2012-11-01,"GS1",0.18
2012-12-01,"GS1",0.16
2013-01-01,"GS1",0.15
2013-02-01,"GS1",0.16
2013-03-01,"GS1",0.15
2013-04-01,"GS1",0.12
2013-05-01,"GS1",0.12
2013-06-01,"GS1",0.14
2013-07-01,"GS1",0.12
2013-08-01,"GS1",0.13
2013-09-01,"GS1",0.12
2013-10-01,"GS1",0.12
2013-11-01,"GS1",0.12
2013-12-01,"GS1",0.13
2014-01-01,"GS1",0.12
2014-02-01,"GS1",0.12
2014-03-01,"GS1",0.13
2014-04-01,"GS1",0.11
2014-05-01,"GS1",0.1
2014-06-01,"GS1",0.1
2014-07-01,"GS1",0.11
2014-08-01,"GS1",0.11
2014-09-01,"GS1",0.11
2014-10-01,"GS1",0.1
2014-11-01,"GS1",0.13
2014-12-01,"GS1",0.21
2015-01-01,"GS1",0.2
2015-02-01,"GS1",0.22
2015-03-01,"GS1",0.25
2015-04-01,"GS1",0.23
2015-05-01,"GS1",0.24
2015-06-01,"GS1",0.28
2015-07-01,"GS1",0.3
2015-08-01,"GS1",0.38
2015-09-01,"GS1",0.37
2015-10-01,"GS1",0.26
2015-11-01,"GS1",0.48
2015-12-01,"GS1",0.65
2016-01-01,"GS1",0.54
2016-02-01,"GS1",0.53
2016-03-01,"GS1",0.66
2016-04-01,"GS1",0.56
2016-05-01,"GS1",0.59
2016-06-01,"GS1",0.55
2016-07-01,"GS1",0.51
2016-08-01,"GS1",0.57
2016-09-01,"GS1",0.59
2016-10-01,"GS1",0.66
2016-11-01,"GS1",0.74
1977-02-01,"GS5",6.83
1977-03-01,"GS5",6.93
1977-04-01,"GS5",6.79
1977-05-01,"GS5",6.94
1977-06-01,"GS5",6.76
1977-07-01,"GS5",6.84
1977-08-01,"GS5",7.03
1977-09-01,"GS5",7.04
1977-10-01,"GS5",7.32
1977-11-01,"GS5",7.34
1977-12-01,"GS5",7.48
1978-01-01,"GS5",7.77
1978-02-01,"GS5",7.83
1978-03-01,"GS5",7.86
1978-04-01,"GS5",7.98
1978-05-01,"GS5",8.18
1978-06-01,"GS5",8.36
1978-07-01,"GS5",8.54
1978-08-01,"GS5",8.33
1978-09-01,"GS5",8.43
1978-10-01,"GS5",8.61
1978-11-01,"GS5",8.84
1978-12-01,"GS5",9.08
1979-01-01,"GS5",9.2
1979-02-01,"GS5",9.13
1979-03-01,"GS5",9.2
1979-04-01,"GS5",9.25
1979-05-01,"GS5",9.24
1979-06-01,"GS5",8.85
1979-07-01,"GS5",8.9
1979-08-01,"GS5",9.06
1979-09-01,"GS5",9.41
1979-10-01,"GS5",10.63
1979-11-01,"GS5",10.93
1979-12-01,"GS5",10.42
1980-01-01,"GS5",10.74
1980-02-01,"GS5",12.6
1980-03-01,"GS5",13.47
1980-04-01,"GS5",11.84
1980-05-01,"GS5",9.95
1980-06-01,"GS5",9.21
1980-07-01,"GS5",9.53
1980-08-01,"GS5",10.84
1980-09-01,"GS5",11.62
1980-10-01,"GS5",11.86
1980-11-01,"GS5",12.83
1980-12-01,"GS5",13.25
1981-01-01,"GS5",12.77
1981-02-01,"GS5",13.41
1981-03-01,"GS5",13.41
1981-04-01,"GS5",13.99
1981-05-01,"GS5",14.63
1981-06-01,"GS5",13.95
1981-07-01,"GS5",14.79
1981-08-01,"GS5",15.56
1981-09-01,"GS5",15.93
1981-10-01,"GS5",15.41
1981-11-01,"GS5",13.38
1981-12-01,"GS5",13.6
1982-01-01,"GS5",14.65
1982-02-01,"GS5",14.54
1982-03-01,"GS5",13.98
1982-04-01,"GS5",14
1982-05-01,"GS5",13.75
1982-06-01,"GS5",14.43
1982-07-01,"GS5",14.07
1982-08-01,"GS5",13
1982-09-01,"GS5",12.25
1982-10-01,"GS5",10.8
1982-11-01,"GS5",10.38
1982-12-01,"GS5",10.22
1983-01-01,"GS5",10.03
1983-02-01,"GS5",10.26
1983-03-01,"GS5",10.08
1983-04-01,"GS5",10.02
1983-05-01,"GS5",10.03
1983-06-01,"GS5",10.63
1983-07-01,"GS5",11.21
1983-08-01,"GS5",11.63
1983-09-01,"GS5",11.43
1983-10-01,"GS5",11.28
1983-11-01,"GS5",11.41
1983-12-01,"GS5",11.54
1984-01-01,"GS5",11.37
1984-02-01,"GS5",11.54
1984-03-01,"GS5",12.02
1984-04-01,"GS5",12.37
1984-05-01,"GS5",13.17
1984-06-01,"GS5",13.48
1984-07-01,"GS5",13.27
1984-08-01,"GS5",12.68
1984-09-01,"GS5",12.53
1984-10-01,"GS5",12.06
1984-11-01,"GS5",11.33
1984-12-01,"GS5",11.07
1985-01-01,"GS5",10.93
1985-02-01,"GS5",11.13
1985-03-01,"GS5",11.52
1985-04-01,"GS5",11.01
1985-05-01,"GS5",10.34
1985-06-01,"GS5",9.6
1985-07-01,"GS5",9.7
1985-08-01,"GS5",9.81
1985-09-01,"GS5",9.81
1985-10-01,"GS5",9.69
1985-11-01,"GS5",9.28
1985-12-01,"GS5",8.73
1986-01-01,"GS5",8.68
1986-02-01,"GS5",8.34
1986-03-01,"GS5",7.46
1986-04-01,"GS5",7.05
1986-05-01,"GS5",7.52
1986-06-01,"GS5",7.64
1986-07-01,"GS5",7.06
1986-08-01,"GS5",6.8
1986-09-01,"GS5",6.92
1986-10-01,"GS5",6.83
1986-11-01,"GS5",6.76
1986-12-01,"GS5",6.67
1987-01-01,"GS5",6.64
1987-02-01,"GS5",6.79
1987-03-01,"GS5",6.79
1987-04-01,"GS5",7.57
1987-05-01,"GS5",8.26
1987-06-01,"GS5",8.02
1987-07-01,"GS5",8.01
1987-08-01,"GS5",8.32
1987-09-01,"GS5",8.94
1987-10-01,"GS5",9.08
1987-11-01,"GS5",8.35
1987-12-01,"GS5",8.45
1988-01-01,"GS5",8.18
1988-02-01,"GS5",7.71
1988-03-01,"GS5",7.83
1988-04-01,"GS5",8.19
1988-05-01,"GS5",8.58
1988-06-01,"GS5",8.49
1988-07-01,"GS5",8.66
1988-08-01,"GS5",8.94
1988-09-01,"GS5",8.69
1988-10-01,"GS5",8.51
1988-11-01,"GS5",8.79
1988-12-01,"GS5",9.09
1989-01-01,"GS5",9.15
1989-02-01,"GS5",9.27
1989-03-01,"GS5",9.51
1989-04-01,"GS5",9.3
1989-05-01,"GS5",8.91
1989-06-01,"GS5",8.29
1989-07-01,"GS5",7.83
1989-08-01,"GS5",8.09
1989-09-01,"GS5",8.17
1989-10-01,"GS5",7.97
1989-11-01,"GS5",7.81
1989-12-01,"GS5",7.75
1990-01-01,"GS5",8.12
1990-02-01,"GS5",8.42
1990-03-01,"GS5",8.6
1990-04-01,"GS5",8.77
1990-05-01,"GS5",8.74
1990-06-01,"GS5",8.43
1990-07-01,"GS5",8.33
1990-08-01,"GS5",8.44
1990-09-01,"GS5",8.51
1990-10-01,"GS5",8.33
1990-11-01,"GS5",8.02
1990-12-01,"GS5",7.73
1991-01-01,"GS5",7.7
1991-02-01,"GS5",7.47
1991-03-01,"GS5",7.77
1991-04-01,"GS5",7.7
1991-05-01,"GS5",7.7
1991-06-01,"GS5",7.94
1991-07-01,"GS5",7.91
1991-08-01,"GS5",7.43
1991-09-01,"GS5",7.14
1991-10-01,"GS5",6.87
1991-11-01,"GS5",6.62
