"DATE","GS1","GS10","GS3","GS30","GS5","UNRATE"
"1995-08-01",5.75,6.49,6.1,6.86,6.24,5.7
"1995-09-01",5.62,6.2,5.89,6.55,6,5.6
"1995-10-01",5.59,6.04,5.77,6.37,5.86,5.5
"1995-11-01",5.43,5.93,5.57,6.26,5.69,5.6
"1995-12-01",5.31,5.71,5.39,6.06,5.51,5.6
"1996-01-01",5.09,5.65,5.2,6.05,5.36,5.6
"1996-02-01",4.94,5.81,5.14,6.24,5.38,5.5
"1996-03-01",5.34,6.27,5.79,6.6,5.97,5.5
"1996-04-01",5.54,6.51,6.11,6.79,6.3,5.6
"1996-05-01",5.64,6.74,6.27,6.93,6.48,5.6
"1996-06-01",5.81,6.91,6.49,7.06,6.69,5.3
"1996-07-01",5.85,6.87,6.45,7.03,6.64,5.5
"1996-08-01",5.67,6.64,6.21,6.84,6.39,5.1
"1996-09-01",5.83,6.83,6.41,7.03,6.6,5.2
"1996-10-01",5.55,6.53,6.08,6.81,6.27,5.2
"1996-11-01",5.42,6.2,5.82,6.48,5.97,5.4
"1996-12-01",5.47,6.3,5.91,6.55,6.07,5.4
"1997-01-01",5.61,6.58,6.16,6.83,6.33,5.3
"1997-02-01",5.53,6.42,6.03,6.69,6.2,5.2
"1997-03-01",5.8,6.69,6.38,6.93,6.54,5.2
"1997-04-01",5.99,6.89,6.61,7.09,6.76,5.1
"1997-05-01",5.87,6.71,6.42,6.94,6.57,4.9
"1997-06-01",5.69,6.49,6.24,6.77,6.38,5
"1997-07-01",5.54,6.22,6,6.51,6.12,4.9
"1997-08-01",5.56,6.3,6.06,6.58,6.16,4.8
"1997-09-01",5.52,6.21,5.98,6.5,6.11,4.9
"1997-10-01",5.46,6.03,5.84,6.33,5.93,4.7
"1997-11-01",5.46,5.88,5.76,6.11,5.8,4.6
"1997-12-01",5.53,5.81,5.74,5.99,5.77,4.7
"1998-01-01",5.24,5.54,5.38,5.81,5.42,4.6
"1998-02-01",5.31,5.57,5.43,5.89,5.49,4.6
"1998-03-01",5.39,5.65,5.57,5.95,5.61,4.7
"1998-04-01",5.38,5.64,5.58,5.92,5.61,4.3
"1998-05-01",5.44,5.65,5.61,5.93,5.63,4.4
"1998-06-01",5.41,5.5,5.52,5.7,5.52,4.5
"1998-07-01",5.36,5.46,5.47,5.68,5.46,4.5
"1998-08-01",5.21,5.34,5.24,5.54,5.27,4.5
"1998-09-01",4.71,4.81,4.62,5.2,4.62,4.6
"1998-10-01",4.12,4.53,4.18,5.01,4.18,4.5
"1998-11-01",4.53,4.83,4.57,5.25,4.54,4.4
"1998-12-01",4.52,4.65,4.48,5.06,4.45,4.4
"1999-01-01",4.51,4.72,4.61,5.16,4.6,4.3
"1999-02-01",4.7,5,4.9,5.37,4.91,4.4
"1999-03-01",4.78,5.23,5.11,5.58,5.14,4.2
"1999-04-01",4.69,5.18,5.03,5.55,5.08,4.3
"1999-05-01",4.85,5.54,5.33,5.81,5.44,4.2
"1999-06-01",5.1,5.9,5.7,6.04,5.81,4.3
"1999-07-01",5.03,5.79,5.62,5.98,5.68,4.3
"1999-08-01",5.2,5.94,5.77,6.07,5.84,4.2
"1999-09-01",5.25,5.92,5.75,6.07,5.8,4.2
"1999-10-01",5.43,6.11,5.94,6.26,6.03,4.1
"1999-11-01",5.55,6.03,5.92,6.15,5.97,4.1
"1999-12-01",5.84,6.28,6.14,6.35,6.19,4
"2000-01-01",6.12,6.66,6.49,6.63,6.58,4
"2000-02-01",6.22,6.52,6.65,6.23,6.68,4.1
"2000-03-01",6.22,6.26,6.53,6.05,6.5,4
"2000-04-01",6.15,5.99,6.36,5.85,6.26,3.8
"2000-05-01",6.33,6.44,6.77,6.15,6.69,4
"2000-06-01",6.17,6.1,6.43,5.93,6.3,4
"2000-07-01",6.08,6.05,6.28,5.85,6.18,4
"2000-08-01",6.18,5.83,6.17,5.72,6.06,4.1
"2000-09-01",6.13,5.8,6.02,5.83,5.93,3.9
"2000-10-01",6.01,5.74,5.85,5.8,5.78,3.9
"2000-11-01",6.09,5.72,5.79,5.78,5.7,3.9
"2000-12-01",5.6,5.24,5.26,5.49,5.17,3.9
"2001-01-01",4.81,5.16,4.77,5.54,4.86,4.2
"2001-02-01",4.68,5.1,4.71,5.45,4.89,4.2
"2001-03-01",4.3,4.89,4.43,5.34,4.64,4.3
"2001-04-01",3.98,5.14,4.42,5.65,4.76,4.4
"2001-05-01",3.78,5.39,4.51,5.78,4.93,4.3
"2001-06-01",3.58,5.28,4.35,5.67,4.81,4.5
"2001-07-01",3.62,5.24,4.31,5.61,4.76,4.6
"2001-08-01",3.47,4.97,4.04,5.48,4.57,4.9
"2001-09-01",2.82,4.73,3.45,5.48,4.12,5
"2001-10-01",2.33,4.57,3.14,5.32,3.91,5.3
"2001-11-01",2.18,4.65,3.22,5.12,3.97,5.5
"2001-12-01",2.22,5.09,3.62,5.48,4.39,5.7
"2002-01-01",2.16,5.04,3.56,5.45,4.34,5.7
"2002-02-01",2.23,4.91,3.55,5.4,4.3,5.7
"2002-03-01",2.57,5.28,4.14,NA,4.74,5.7
"2002-04-01",2.48,5.21,4.01,NA,4.65,5.9
"2002-05-01",2.35,5.16,3.8,NA,4.49,5.8
"2002-06-01",2.2,4.93,3.49,NA,4.19,5.8
"2002-07-01",1.96,4.65,3.01,NA,3.81,5.8
"2002-08-01",1.76,4.26,2.52,NA,3.29,5.7
"2002-09-01",1.72,3.87,2.32,NA,2.94,5.7
"2002-10-01",1.65,3.94,2.25,NA,2.95,5.7
"2002-11-01",1.49,4.05,2.32,NA,3.05,5.9
"2002-12-01",1.45,4.03,2.23,NA,3.03,6
"2003-01-01",1.36,4.05,2.18,NA,3.05,5.8
"2003-02-01",1.3,3.9,2.05,NA,2.9,5.9
"2003-03-01",1.24,3.81,1.98,NA,2.78,5.9
"2003-04-01",1.27,3.96,2.06,NA,2.93,6
"2003-05-01",1.18,3.57,1.75,NA,2.52,6.1
"2003-06-01",1.01,3.33,1.51,NA,2.27,6.3
"2003-07-01",1.12,3.98,1.93,NA,2.87,6.2
"2003-08-01",1.31,4.45,2.44,NA,3.37,6.1
"2003-09-01",1.24,4.27,2.23,NA,3.18,6.1
"2003-10-01",1.25,4.29,2.26,NA,3.19,6
"2003-11-01",1.34,4.3,2.45,NA,3.29,5.8
"2003-12-01",1.31,4.27,2.44,NA,3.27,5.7
"2004-01-01",1.24,4.15,2.27,NA,3.12,5.7
"2004-02-01",1.24,4.08,2.25,NA,3.07,5.6
"2004-03-01",1.19,3.83,2,NA,2.79,5.8
"2004-04-01",1.43,4.35,2.57,NA,3.39,5.6
"2004-05-01",1.78,4.72,3.1,NA,3.85,5.6
"2004-06-01",2.12,4.73,3.26,NA,3.93,5.6
"2004-07-01",2.1,4.5,3.05,NA,3.69,5.5
"2004-08-01",2.02,4.28,2.88,NA,3.47,5.4
"2004-09-01",2.12,4.13,2.83,NA,3.36,5.4
"2004-10-01",2.23,4.1,2.85,NA,3.35,5.5
"2004-11-01",2.5,4.19,3.09,NA,3.53,5.4
"2004-12-01",2.67,4.23,3.21,NA,3.6,5.4
"2005-01-01",2.86,4.22,3.39,NA,3.71,5.3
"2005-02-01",3.03,4.17,3.54,NA,3.77,5.4
"2005-03-01",3.3,4.5,3.91,NA,4.17,5.2
"2005-04-01",3.32,4.34,3.79,NA,4,5.2
"2005-05-01",3.33,4.14,3.72,NA,3.85,5.1
"2005-06-01",3.36,4,3.69,NA,3.77,5
"2005-07-01",3.64,4.18,3.91,NA,3.98,5
"2005-08-01",3.87,4.26,4.08,NA,4.12,4.9
"2005-09-01",3.85,4.2,3.96,NA,4.01,5
"2005-10-01",4.18,4.46,4.29,NA,4.33,5
"2005-11-01",4.33,4.54,4.43,NA,4.45,5
"2005-12-01",4.35,4.47,4.39,NA,4.39,4.9
"2006-01-01",4.45,4.42,4.35,NA,4.35,4.7
"2006-02-01",4.68,4.57,4.64,4.54,4.57,4.8
"2006-03-01",4.77,4.72,4.74,4.73,4.72,4.7
"2006-04-01",4.9,4.99,4.89,5.06,4.9,4.7
"2006-05-01",5,5.11,4.97,5.2,5,4.6
"2006-06-01",5.16,5.11,5.09,5.15,5.07,4.6
"2006-07-01",5.22,5.09,5.07,5.13,5.04,4.7
"2006-08-01",5.08,4.88,4.85,5,4.82,4.7
"2006-09-01",4.97,4.72,4.69,4.85,4.67,4.5
"2006-10-01",5.01,4.73,4.72,4.85,4.69,4.4
"2006-11-01",5.01,4.6,4.64,4.69,4.58,4.5
"2006-12-01",4.94,4.56,4.58,4.68,4.53,4.4
"2007-01-01",5.06,4.76,4.79,4.85,4.75,4.6
"2007-02-01",5.05,4.72,4.75,4.82,4.71,4.5
"2007-03-01",4.92,4.56,4.51,4.72,4.48,4.4
"2007-04-01",4.93,4.69,4.6,4.87,4.59,4.5
"2007-05-01",4.91,4.75,4.69,4.9,4.67,4.4
"2007-06-01",4.96,5.1,5,5.2,5.03,4.6
"2007-07-01",4.96,5,4.82,5.11,4.88,4.7
