tenor,rate
GS30,3.11
GS30,3.4
GS30,3.61
GS30,3.76
GS30,3.79
GS30,3.68
GS30,3.8
GS30,3.89
GS30,3.77
GS30,3.66
GS30,3.62
GS30,3.52
GS30,3.39
GS30,3.42
GS30,3.33
GS30,3.2
GS30,3.26
GS30,3.04
GS30,3.04
GS30,2.83
GS30,2.46
GS30,2.57
GS30,2.63
GS30,2.59
GS30,2.96
GS30,3.11
GS30,3.07
GS30,2.86
GS30,2.95
GS30,2.89
GS30,3.03
GS30,2.97
GS30,2.86
GS30,2.62
GS30,2.68
GS30,2.62
GS30,2.63
GS30,2.45
GS30,2.23
GS30,2.26
GS30,2.35
GS30,2.5
GS30,2.86
UNRATE,7.6
UNRATE,7.4
UNRATE,7.2
UNRATE,7
UNRATE,7.2
UNRATE,6.9
UNRATE,7
UNRATE,6.8
UNRATE,6.8
UNRATE,6.8
UNRATE,6.4
UNRATE,6.4
UNRATE,6.3
UNRATE,6.3
UNRATE,6.1
UNRATE,6
UNRATE,5.9
UNRATE,6.2
UNRATE,5.9
UNRATE,6
UNRATE,5.8
UNRATE,5.9
UNRATE,6
UNRATE,5.9
UNRATE,5.9
UNRATE,5.8
UNRATE,5.8
UNRATE,5.6
UNRATE,5.7
UNRATE,5.7
UNRATE,6
UNRATE,5.9
UNRATE,6
UNRATE,5.9
UNRATE,6
UNRATE,6.3
UNRATE,6.3
UNRATE,6.3
UNRATE,6.9
UNRATE,7.5
UNRATE,7.6
UNRATE,7.8
UNRATE,7.7
UNRATE,7.5
UNRATE,7.5
UNRATE,7.5
UNRATE,7.2
UNRATE,7.5
UNRATE,7.4
UNRATE,7.4
UNRATE,7.2
UNRATE,7.5
UNRATE,7.5
UNRATE,7.2
UNRATE,7.4
UNRATE,7.6
UNRATE,7.9
UNRATE,8.3
UNRATE,8.5
UNRATE,8.6
UNRATE,8.9
UNRATE,9
UNRATE,9.3
UNRATE,9.4
UNRATE,9.6
UNRATE,9.8
UNRATE,9.8
UNRATE,10.1
UNRATE,10.4
UNRATE,10.8
UNRATE,10.8
UNRATE,10.4
UNRATE,10.4
UNRATE,10.3
UNRATE,10.2
UNRATE,10.1
UNRATE,10.1
UNRATE,9.4
UNRATE,9.5
UNRATE,9.2
UNRATE,8.8
UNRATE,8.5
UNRATE,8.3
UNRATE,8
UNRATE,7.8
UNRATE,7.8
UNRATE,7.7
UNRATE,7.4
UNRATE,7.2
UNRATE,7.5
UNRATE,7.5
UNRATE,7.3
UNRATE,7.4
UNRATE,7.2
UNRATE,7.3
UNRATE,7.3
UNRATE,7.2
UNRATE,7.2
UNRATE,7.3
UNRATE,7.2
UNRATE,7.4
UNRATE,7.4
UNRATE,7.1
UNRATE,7.1
UNRATE,7.1
UNRATE,7
UNRATE,7
UNRATE,6.7
UNRATE,7.2
UNRATE,7.2
UNRATE,7.1
UNRATE,7.2
UNRATE,7.2
UNRATE,7
UNRATE,6.9
UNRATE,7
UNRATE,7
UNRATE,6.9
UNRATE,6.6
UNRATE,6.6
UNRATE,6.6
UNRATE,6.6
UNRATE,6.3
UNRATE,6.3
UNRATE,6.2
UNRATE,6.1
UNRATE,6
UNRATE,5.9
UNRATE,6
UNRATE,5.8
UNRATE,5.7
UNRATE,5.7
UNRATE,5.7
UNRATE,5.7
UNRATE,5.4
UNRATE,5.6
UNRATE,5.4
UNRATE,5.4
UNRATE,5.6
UNRATE,5.4
UNRATE,5.4
UNRATE,5.3
UNRATE,5.3
UNRATE,5.4
UNRATE,5.2
UNRATE,5
UNRATE,5.2
UNRATE,5.2
UNRATE,5.3
UNRATE,5.2
UNRATE,5.2
UNRATE,5.3
UNRATE,5.3
UNRATE,5.4
UNRATE,5.4
UNRATE,5.4
UNRATE,5.3
UNRATE,5.2
UNRATE,5.4
UNRATE,5.4
UNRATE,5.2
UNRATE,5.5
UNRATE,5.7
UNRATE,5.9
UNRATE,5.9
UNRATE,6.2
UNRATE,6.3
UNRATE,6.4
UNRATE,6.6
UNRATE,6.8
UNRATE,6.7
UNRATE,6.9
UNRATE,6.9
UNRATE,6.8
UNRATE,6.9
UNRATE,6.9
UNRATE,7
UNRATE,7
UNRATE,7.3
UNRATE,7.3
UNRATE,7.4
UNRATE,7.4
UNRATE,7.4
UNRATE,7.6
UNRATE,7.8
UNRATE,7.7
UNRATE,7.6
UNRATE,7.6
UNRATE,7.3
UNRATE,7.4
UNRATE,7.4
UNRATE,7.3
UNRATE,7.1
UNRATE,7
UNRATE,7.1
UNRATE,7.1
UNRATE,7
UNRATE,6.9
UNRATE,6.8
UNRATE,6.7
UNRATE,6.8
UNRATE,6.6
UNRATE,6.5
UNRATE,6.6
UNRATE,6.6
UNRATE,6.5
UNRATE,6.4
UNRATE,6.1
UNRATE,6.1
UNRATE,6.1
UNRATE,6
UNRATE,5.9
UNRATE,5.8
UNRATE,5.6
UNRATE,5.5
UNRATE,5.6
UNRATE,5.4
UNRATE,5.4
UNRATE,5.8
UNRATE,5.6
UNRATE,5.6
UNRATE,5.7
UNRATE,5.7
UNRATE,5.6
UNRATE,5.5
UNRATE,5.6
UNRATE,5.6
UNRATE,5.6
UNRATE,5.5
UNRATE,5.5
UNRATE,5.6
UNRATE,5.6
UNRATE,5.3
UNRATE,5.5
UNRATE,5.1
UNRATE,5.2
UNRATE,5.2
UNRATE,5.4
UNRATE,5.4
UNRATE,5.3
UNRATE,5.2
UNRATE,5.2
UNRATE,5.1
UNRATE,4.9
UNRATE,5
UNRATE,4.9
UNRATE,4.8
UNRATE,4.9
UNRATE,4.7
UNRATE,4.6
UNRATE,4.7
UNRATE,4.6
UNRATE,4.6
UNRATE,4.7
UNRATE,4.3
UNRATE,4.4
UNRATE,4.5
UNRATE,4.5
UNRATE,4.5
UNRATE,4.6
UNRATE,4.5
UNRATE,4.4
